Player,Team,Home Team,Away Team,Date
Yekaterina Smolina,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,
Yelena Dergachyova,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,
Yelena Dergachyova,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,
Yevgenia Dyupina,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,
Yevgenia Dyupina,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,
Alex Carpenter,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Alex Carpenter,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Alex Carpenter,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Alex Cavalini,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Alex Cavalini,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Alex Cavalini,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Amanda Kessel,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Amanda Kessel,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Amanda Kessel,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Amanda Pelkey,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Amanda Pelkey,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Annie Pankowski,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Annie Pankowski,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Brianna Decker,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Brianna Decker,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Brianna Decker,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Cayla Barnes,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Cayla Barnes,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Dana Trivigno,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Dana Trivigno,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Dani Cameranesi,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Dani Cameranesi,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Dani Cameranesi,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Emily Pfalzer,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Emily Pfalzer,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Emily Pfalzer,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Gigi Marvin,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Gigi Marvin,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Haley Skarupa,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Haley Skarupa,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Hannah Brandt,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Hannah Brandt,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Hannah Brandt,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Hayley Scamurra,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Hayley Scamurra,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Hayley Scamurra,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Hilary Knight,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Hilary Knight,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Hilary Knight,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Jesse Compher,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Jesse Compher,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Jocelyne Lamoureux,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Kacey Bellamy,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Kacey Bellamy,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Kacey Bellamy,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Kaitlin Burt,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Kali Flanagan,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Kelly Pannek,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Kelly Pannek,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Kendall Coyne Schofield,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Kendall Coyne Schofield,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Kendall Coyne Schofield,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Lee Stecklein,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Lee Stecklein,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Lee Stecklein,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Maddie Rooney,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Megan Bozek,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Megan Bozek,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Megan Bozek,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Megan Keller,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Megan Keller,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Meghan Duggan,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Melissa Samoskevich,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Monique Lamoureux,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Savannah Harmon,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Savannah Harmon,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Shelly Picard,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Shelly Picard,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Sidney Morin,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Sidney Morin,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Sydney Brodt,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Sydney Brodt,Olympic (Women) - United States,Olympic (Women) - Finland,Olympic (Women) - United States,
Zoe Hickel,Olympic (Women) - United States,Olympic (Women) - Canada,Olympic (Women) - United States,
Zoe Hickel,Olympic (Women) - United States,Olympic (Women) - United States,Olympic (Women) - Canada,
Amanda Butterfield,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Amanda Butterfield,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Charlea Pedersen,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Charlea Pedersen,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Claire Dudley,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Claire Dudley,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Grace Harrison,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Jacquie Diffley,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Jacquie Diffley,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Jessica Poirier,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Jessica Poirier,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Justine Reyes,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Justine Reyes,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Kalie Grant,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Kalie Grant,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Kayla Nielsen,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Kayla Nielsen,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Kristen Guerriero,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Kristen Guerriero,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Lydia Grauer,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Lydia Grauer,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Maggie McLaughlin,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Maggie McLaughlin,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Nadine Edney,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Nadine Edney,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Natalie Wozney,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Natalie Wozney,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Rachael Smith,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Rachael Smith,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Skylar Podvey,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Skylar Podvey,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Sonjia Shelly,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Steph Keryluk,St. Lawrence Saints,St. Lawrence Saints,Clarkson Golden Knights,
Steph Keryluk,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
Stephanie Voge,St. Lawrence Saints,Clarkson Golden Knights,St. Lawrence Saints,
